"subject","room_condition","dimension","value","block","experiment"
8,"Large VE","Depth",8,2,4
9,"No visual info","Depth",4,1,4
9,"Large VE","Depth",8,2,4
10,"No visual info","Depth",4,1,4
10,"Large VE","Depth",6,2,4
11,"No visual info","Depth",6.5,1,4
11,"Large VE","Depth",12,2,4
12,"Large VE","Depth",15,2,4
13,"No visual info","Depth",10,1,4
14,"No visual info","Depth",4,1,4
14,"Large VE","Depth",6,2,4
15,"No visual info","Depth",3,1,4
15,"Large VE","Depth",15,2,4
16,"No visual info","Depth",2,1,4
16,"Large VE","Depth",15,2,4
1,"No visual info","Width",2,1,4
2,"No visual info","Width",5,1,4
2,"Large VE","Width",5,2,4
3,"Large VE","Width",8,2,4
4,"No visual info","Width",5,1,4
4,"Large VE","Width",5,2,4
5,"No visual info","Width",6,1,4
5,"Large VE","Width",4,2,4
6,"Large VE","Width",8,2,4
8,"No visual info","Width",4,1,4
8,"Large VE","Width",5.5,2,4
9,"No visual info","Width",4,1,4
9,"Large VE","Width",3,2,4
10,"No visual info","Width",4,1,4
10,"Large VE","Width",3.5,2,4
11,"No visual info","Width",8,1,4
11,"Large VE","Width",5,2,4
14,"No visual info","Width",4,1,4
14,"Large VE","Width",3,2,4
15,"No visual info","Width",3,1,4
16,"No visual info","Width",8,1,4
1,"No visual info","Height",5,1,4
2,"No visual info","Height",3,1,4
2,"Large VE","Height",3,2,4
4,"No visual info","Height",3,1,4
4,"Large VE","Height",3,2,4
5,"No visual info","Height",3,1,4
5,"Large VE","Height",3,2,4
6,"Large VE","Height",5,2,4
7,"No visual info","Height",5,1,4
7,"Large VE","Height",5,2,4
8,"No visual info","Height",3.5,1,4
8,"Large VE","Height",3,2,4
9,"No visual info","Height",3,1,4
9,"Large VE","Height",3,2,4
10,"No visual info","Height",3,1,4
10,"Large VE","Height",2.5,2,4
11,"No visual info","Height",3.5,1,4
11,"Large VE","Height",3,2,4
13,"No visual info","Height",5,1,4
14,"No visual info","Height",3,1,4
14,"Large VE","Height",3,2,4
15,"No visual info","Height",3,1,4
15,"Large VE","Height",3,2,4
16,"No visual info","Height",2.5,1,4
16,"Large VE","Height",2.2,2,4
