"subject","room_condition","experiment","auditory_max_dist","visual_perc_depth","block","log_auditory_max_dist","log_visual_perc_depth"
38,"Congruent VE",1,9.16666666666667,2,1,2.21557371600442,0.693147180559945
38,"Small VE",1,6,2,2,1.79175946922805,0.693147180559945
39,"Congruent VE",1,3.33333333333333,9,2,1.20397280432594,2.19722457733622
39,"Small VE",1,4.66666666666667,9,1,1.54044504094715,2.19722457733622
4,"Congruent VE",3,4.33333333333333,13,2,1.46633706879343,2.56494935746154
4,"Large VE",4,4.16666666666667,15,2,1.42711635564015,2.70805020110221
4,"No visual info",2,3.66666666666667,4,1,1.29928298413026,1.38629436111989
4,"No visual info",3,5.83333333333333,12,1,1.76358859226136,2.484906649788
4,"No visual info",4,5.33333333333333,10,1,1.67397643357167,2.30258509299405
4,"Small VE",1,8.66666666666667,15,1,2.15948424935337,2.70805020110221
4,"Visual info",2,3.5,10,2,1.25276296849537,2.30258509299405
40,"Congruent VE",1,4.33333333333333,9,1,1.46633706879343,2.19722457733622
40,"Small VE",1,4,8,2,1.38629436111989,2.07944154167984
41,"Congruent VE",1,2.43333333333333,5,2,0.889262059486234,1.6094379124341
41,"Small VE",1,2.16666666666667,2,1,0.773189888233483,0.693147180559945
42,"Congruent VE",1,2.33333333333333,4,1,0.847297860387202,1.38629436111989
42,"Small VE",1,2.66666666666667,3,2,0.980829253011728,1.09861228866811
43,"Congruent VE",1,0.666666666666667,4,2,-0.405465108108164,1.38629436111989
43,"Small VE",1,0.733333333333333,2,1,-0.31015492830384,0.693147180559945
44,"Congruent VE",1,3.75,10,1,1.32175583998232,2.30258509299405
44,"Small VE",1,4.33333333333333,5,2,1.46633706879343,1.6094379124341
45,"Congruent VE",1,7.33333333333333,17,2,1.99243016469021,2.83321334405622
45,"Small VE",1,6,15,1,1.79175946922805,2.70805020110221
46,"Congruent VE",1,3.08333333333333,6,1,1.12601126285622,1.79175946922805
47,"Congruent VE",1,10,15,2,2.30258509299405,2.70805020110221
47,"Small VE",1,11.3333333333333,6,1,2.42774823594805,1.79175946922805
48,"Congruent VE",1,1.31666666666667,3,1,0.275103290244923,1.09861228866811
48,"Small VE",1,1.03333333333333,1.5,2,0.0327898228229878,0.405465108108164
49,"Congruent VE",1,1.6,3,2,0.470003629245736,1.09861228866811
49,"Small VE",1,1.66666666666667,2,1,0.510825623765993,0.693147180559945
5,"Congruent VE",3,2.16666666666667,6,2,0.773189888233483,1.79175946922805
5,"Large VE",4,12,10,2,2.484906649788,2.30258509299405
5,"No visual info",2,4.16666666666667,6,1,1.42711635564015,1.79175946922805
5,"No visual info",3,2.83333333333333,4,1,1.04145387482816,1.38629436111989
5,"No visual info",4,12,5,1,2.484906649788,1.6094379124341
5,"Visual info",2,6,15,2,1.79175946922805,2.70805020110221
50,"Congruent VE",1,4.66666666666667,6,1,1.54044504094715,1.79175946922805
50,"Small VE",1,3.5,5,2,1.25276296849537,1.6094379124341
6,"Congruent VE",1,5.66666666666667,8,2,1.73460105538811,2.07944154167984
6,"Congruent VE",3,2,6,2,0.693147180559945,1.79175946922805
6,"Large VE",4,2.33333333333333,12.5,2,0.847297860387202,2.52572864430826
6,"No visual info",2,3.16666666666667,5,1,1.15267950993839,1.6094379124341
6,"No visual info",3,2.06666666666667,4,1,0.725937003382938,1.38629436111989
6,"Small VE",1,4.66666666666667,5,1,1.54044504094715,1.6094379124341
6,"Visual info",2,5,9,2,1.6094379124341,2.19722457733622
7,"Congruent VE",1,2.73333333333333,7,1,1.0055218656021,1.94591014905531
7,"Congruent VE",3,0.816666666666667,5,2,-0.202524264111474,1.6094379124341
7,"No visual info",2,2,5,1,0.693147180559945,1.6094379124341
7,"No visual info",4,6,15,1,1.79175946922805,2.70805020110221
7,"Small VE",1,2.66666666666667,5,2,0.980829253011728,1.6094379124341
7,"Visual info",2,5.33333333333333,8,2,1.67397643357167,2.07944154167984
8,"Congruent VE",1,6.83333333333333,11,2,1.92181259747625,2.39789527279837
8,"Congruent VE",3,2.16666666666667,6,2,0.773189888233483,1.79175946922805
8,"Large VE",4,3.5,8,2,1.25276296849537,2.07944154167984
8,"No visual info",2,7.66666666666667,3,1,2.03688192726104,1.09861228866811
8,"No visual info",3,1.75,4,1,0.559615787935423,1.38629436111989
8,"No visual info",4,3.5,4,1,1.25276296849537,1.38629436111989
8,"Small VE",1,6.16666666666667,7,1,1.81915844341617,1.94591014905531
8,"Visual info",2,5.66666666666667,6,2,1.73460105538811,1.79175946922805
9,"Congruent VE",1,6,8,1,1.79175946922805,2.07944154167984
9,"Congruent VE",3,6,10,2,1.79175946922805,2.30258509299405
9,"Large VE",4,3.66666666666667,8,2,1.29928298413026,2.07944154167984
9,"No visual info",2,3,6,1,1.09861228866811,1.79175946922805
9,"No visual info",3,6,5,1,1.79175946922805,1.6094379124341
9,"No visual info",4,4.33333333333333,4,1,1.46633706879343,1.38629436111989
9,"Small VE",1,4.66666666666667,8,2,1.54044504094715,2.07944154167984
9,"Visual info",2,5,12,2,1.6094379124341,2.484906649788
